;Teor Cocaina (%)
B_0;79,41463
99.783.599;-987,9653
100.160.731;282,7201
100.537.426;2177,368
100.913.685;606,503
101.289.508;1467,851
101.664.894;-1830,394
102.164.731;-906,5313
102.539.099;-2214,804
102.913.031;-718,0165
103.286.526;232,9374
103.659.585;-1549,564
104.032.208;-1734,925
104.404.394;-1527,581
104.899.964;-1306,796
105.271.132;1545,007
105.641.864;3142,712
10.601.216;5027,21
106.382.019;4065,985
106.751.442;4482,789
107.120.428;1839,921
107.611.731;1454,808
107.979.699;-606,7464
108.347.231;-177,2398
108.714.327;-2763,831
109.080.986;-2118,666
109.447.209;1075,141
109.812.996;1127,165
110.300.032;437,232
1.106.648;-415,6594
111.029.132;-5961,093
111.393.028;-8481,75
111.756.487;-11578,96
11.211.951;-12472,91
112.482.097;-8413,818
112.964.867;-3933,217
113.326.435;-1656,636
113.687.567;1728,847
114.048.263;1622,384
114.408.522;6366,297
114.768.345;8658,308
115.127.732;8037,598
115.486.682;5539,11
115.964.604;2197,221
116.322.536;1946,602
116.680.032;3070,366
117.037.091;2782,979
117.393.714;4087,12
117.749.901;4532,565
118.105.651;1105,089
118.579.306;-3863,589
118.934.038;-3896,55
119.288.334;-5085,242
119.642.194;-1064,973
119.995.617;742,6553
120.348.603;174,9921
120.701.154;3334,877
121.170.542;3656,877
121.522.074;4221,924
12.187.317;1753,483
12.222.383;-425,2238
122.574.053;-2258,358
12.292.384;-4511,192
12.327.319;-5641,837
123.738.312;-5441,646
124.086.644;-4777,014
12.443.454;-3749,412
1247.82;-3270,263
125.129.023;-670,7776
12.547.561;2210,658
125.821.761;6036,742
126.282.616;4856,412
126.627.748;4302,627
126.972.444;3487,031
127.316.704;3866,451
127.660.527;3180,862
128.003.914;2113,74
128.346.864;866,5765
128.803.453;121,418
129.145.386;-1002,765
129.486.882;-1031,102
129.827.941;-1688,083
130.168.565;-371,3297
130.508.752;469,7412
130.848.502;-251,122
131.300.824;-1482,698
131.639.557;-1440,877
131.977.853;-2671,706
132.315.713;-2148,796
132.653.136;-2858,319
132.990.123;-5092,188
133.326.674;-5627,963
133.774.729;-5244,419
134.110.262;-4434,101
134.445.358;-3000,354
134.780.018;-2867,125
135.114.241;-1739,838
135.448.029;-390,7025
135.781.379;1949,786
136.114.294;751,4498
136.557.501;1937,019
136.889.397;-945,3881
137.220.857;-2162,057
13.755.188;-2753,351
137.882.468;-1917,746
138.212.618;1893,584
138.542.333;3848,319
138.981.273;3253,523
13.930.997;2705,608
13.963.823;1247,008
139.966.053;708,9081
14.029.344;-161,6394
140.620.391;258,327
140.946.906;-542,1046
14.138.158;-291,8347
141.707.076;-2468,261
142.032.136;-3464,69
14.235.676;-431,0511
142.680.947;2298,457
143.004.698;2177,342
143.328.013;-1377,082
14.375.842;-3841,694
144.080.716;-2047,374
144.402.577;-2124,084
1447.24;-2036,72
145.044.988;-1110,814
145.365.539;730,2206
145.685.653;1107,527
146.111.794;2755,757
14.643.089;2292,349
146.749.551;4031,074
147.067.774;5387,188
147.385.562;4653,648
147.702.913;839,0997
148.019.828;-960,076
148.441.702;-2081,581
148.757.598;-1650,361
149.073.058;-4739,374
149.388.082;-6632,414
14.970.267;-5317,574
150.016.821;-5325,072
150.330.536;-3095,617
150.748.143;-1169,226
15.106.084;-356,7463
1.513.731;1232,558
151.684.924;750,5489
151.996.312;422,1641
152.307.263;1653,436
152.617.778;2932,33
153.031.119;1108,258
153.340.615;943,5701
153.649.675;-325,4493
153.958.299;135,8428
154.266.487;1906,821
154.574.238;378,2101
154.881.553;658,4404
155.290.628;1513,659
155.596.924;-230,4446
155.902.785;-2864,631
156.208.209;-2652,997
156.513.196;-311,3738
156.817.748;1902,412
157.121.863;1202,506
157.425.541;1995,632
157.829.767;3789,894
158.132.428;5615,596
158.434.652;5897,619
15.873.644;5180,881
159.037.791;5202,748
159.338.706;4740,453
159.639.185;3942,122
160.039.144;-1886,85
160.338.604;-324,4425
160.637.629;-881,8172
160.936.216;-2454,112
161.234.368;-5910,441
161.532.083;-5782,951
161.829.362;-3731,918
162.225.054;-949,5206
162.521.315;3937,62
162.817.139;3942,166
163.112.527;-1752,435
