;
B_0;86,23946
99.783.599;10243,68
100.160.731;-2398,532
100.537.426;-4249,332
100.913.685;6861,291
101.289.508;2555,274
101.664.894;418,5851
102.164.731;114,981
102.539.099;1856,529
102.913.031;325,375
103.286.526;2485,767
103.659.585;7577,271
104.032.208;2713,304
104.404.394;7432,559
104.899.964;5312,634
105.271.132;-424,1334
105.641.864;689,0273
10.601.216;5986,796
106.382.019;10716,3
106.751.442;4212,646
107.120.428;-3592,226
107.611.731;-5792,528
107.979.699;-1506,679
108.347.231;-8494,615
108.714.327;-12016,39
109.080.986;-13536,69
109.447.209;-5447,481
109.812.996;6155,564
110.300.032;4171,155
1.106.648;2962,094
111.029.132;4032,618
111.393.028;-958,3674
111.756.487;-12021,27
11.211.951;-11052,64
112.482.097;-6202,116
112.964.867;1006,731
113.326.435;5141,557
113.687.567;1180,569
114.048.263;906,2258
114.408.522;7293,724
114.768.345;12118,32
115.127.732;17187,29
115.486.682;13149,17
115.964.604;4853,13
116.322.536;1657,036
116.680.032;-7697,785
117.037.091;-2780,849
117.393.714;-1670,487
117.749.901;187,2134
118.105.651;917,9795
118.579.306;-5791,805
118.934.038;-11029,5
119.288.334;-10684,97
119.642.194;-8019,157
119.995.617;-3218,018
120.348.603;424,1289
120.701.154;-429,9897
121.170.542;-528,9731
121.522.074;2669,597
12.187.317;2017,45
12.222.383;6456,557
122.574.053;-468,4595
12.292.384;7721,937
12.327.319;9147,063
123.738.312;7107,116
124.086.644;5626,776
12.443.454;1362,5
1247.82;-1975,332
125.129.023;-1098,079
12.547.561;-1382,357
125.821.761;-2694,371
126.282.616;-5842,869
126.627.748;-5788,101
126.972.444;-5242,934
127.316.704;-5783,989
127.660.527;-3266,496
128.003.914;1708,24
128.346.864;2765,65
128.803.453;673,4145
129.145.386;-1158,987
129.486.882;1035,191
129.827.941;3811,329
130.168.565;2871,071
130.508.752;2307,132
130.848.502;1991,983
131.300.824;-747,1064
131.639.557;1151,82
131.977.853;3844,939
132.315.713;5029,299
132.653.136;3629,978
132.990.123;371,4301
133.326.674;-3055,22
133.774.729;-8642,321
134.110.262;-9825,804
134.445.358;-12583,19
134.780.018;-11333,49
135.114.241;-10172,21
135.448.029;-21,45673
135.781.379;9241,797
136.114.294;10515,38
136.557.501;9105,139
136.889.397;6689,15
137.220.857;194,6332
13.755.188;-8368,914
137.882.468;-7464,195
138.212.618;-11890,39
138.542.333;-11318,35
138.981.273;-7629,809
13.930.997;-2471,504
13.963.823;4297,979
139.966.053;6707,43
14.029.344;8676,637
140.620.391;4627,852
140.946.906;-3934,538
14.138.158;-9209,554
141.707.076;-10298,94
142.032.136;-12359,94
14.235.676;-10573,32
142.680.947;-2440,214
143.004.698;-299,8865
143.328.013;2694,207
14.375.842;5911,785
144.080.716;7627,799
144.402.577;9264,437
1447.24;5107,511
145.044.988;3340,268
145.365.539;3021,048
145.685.653;4078,468
146.111.794;4769,074
14.643.089;3674,698
146.749.551;-375,9608
147.067.774;503,2793
147.385.562;55,3092
147.702.913;-6263,418
148.019.828;-7142,802
148.441.702;-5580,855
148.757.598;-5686,514
149.073.058;-9607,425
149.388.082;-13937,91
14.970.267;-10513,56
150.016.821;-7038,572
150.330.536;-6517,8
150.748.143;-6052,948
15.106.084;-2474,118
1.513.731;445,8315
151.684.924;-371,0688
151.996.312;-2765,415
152.307.263;-490,1376
152.617.778;3597,017
153.031.119;-2174,301
153.340.615;-4181,127
153.649.675;-4416,53
153.958.299;-2694,01
154.266.487;1089,304
154.574.238;548,3163
154.881.553;-2021,753
155.290.628;-2992,48
155.596.924;1083,817
155.902.785;-2714,376
156.208.209;-8365,413
156.513.196;-4402,842
156.817.748;2675,667
157.121.863;-1335,385
157.425.541;-4867,675
157.829.767;1540,332
158.132.428;5092,211
158.434.652;769,6537
15.873.644;-530,5197
159.037.791;-5141,758
159.338.706;-2096,501
159.639.185;-7047,112
160.039.144;1084,555
160.338.604;1049,535
160.637.629;1844,625
160.936.216;-1141,366
161.234.368;703,5897
161.532.083;-7772,706
161.829.362;-5822,136
162.225.054;8206,644
162.521.315;13288,71
162.817.139;16812,62
163.112.527;-13696,78
